Champneys Tring,"Champneys Tring, Wiggington, Hertfordshire - save 51%",390,51,2018-04-14,2018-04-15,April    ,April    ,Saturday ,Sunday   ,1,Spring,10
Lea Marston Hotel & Spa,,,,2018-03-03,2018-03-04,March    ,March    ,Saturday ,Sunday   ,1,Winter,10
Lea Marston Hotel & Spa,,,,2018-03-10,2018-03-11,March    ,March    ,Saturday ,Sunday   ,1,Winter,10
Ruby Lissi Hotel Vienna,"Ruby Lissi Hotel Vienna, Vienna, Austria - save 54%",99,54,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,10
The Abbey Hotel,,,,2018-02-03,2018-02-04,February ,February ,Saturday ,Sunday   ,1,Winter,10
The Abbey Hotel,,,,2018-01-27,2018-01-28,January  ,January  ,Saturday ,Sunday   ,1,Winter,10
Romantikhotel Waxenstein,,,,2018-03-16,2018-03-18,March    ,March    ,Friday   ,Sunday   ,2,Winter,10
The White Swan Inn,"The White Swan Inn, Pickering, North Yorkshire - save 52%",109,52,2018-05-19,2018-05-20,May      ,May      ,Saturday ,Sunday   ,1,Spring,10
The College Hotel,"The College Hotel, Amsterdam, Netherlands - save 38%",115,38,2018-03-23,2018-03-25,March    ,March    ,Friday   ,Sunday   ,2,Spring,10
The Abbey Hotel,,,,2018-02-17,2018-02-18,February ,February ,Saturday ,Sunday   ,1,Winter,10
The Washington Mayfair Hotel,,,,2018-02-23,2018-02-24,February ,February ,Friday   ,Saturday ,1,Winter,10
Ruthin Castle Hotel & Spa,,,,2017-12-29,2017-12-30,December ,December ,Friday   ,Saturday ,1,Winter,9
Zollenspieker Faehrhaus,,,,2018-04-29,2018-05-01,April    ,May      ,Sunday   ,Tuesday  ,2,Spring,9
Steigenberger Hotel am Kanzleramt,,,,2018-01-27,2018-01-28,January  ,January  ,Saturday ,Sunday   ,1,Winter,9
GHOTEL GmbH,,,,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,9
City Resort Hotel Leiden,,,,2018-01-27,2018-01-28,January  ,January  ,Saturday ,Sunday   ,1,Winter,9
H10 London Waterloo,"H10 London Waterloo, Waterloo, London - save 53%",99,53,2018-04-21,2018-04-22,April    ,April    ,Saturday ,Sunday   ,1,Spring,9
No Man's Fort,,,,2018-03-16,2018-03-17,March    ,March    ,Friday   ,Saturday ,1,Winter,9
Panorama Hotel Oberjoch,,,,2018-03-17,2018-03-19,March    ,March    ,Saturday ,Monday   ,2,Winter,9
Park Hyatt Hamburg,,,,2018-03-23,2018-03-25,March    ,March    ,Friday   ,Sunday   ,2,Spring,9
Alpenhof Murnau,,,,2018-03-16,2018-03-18,March    ,March    ,Friday   ,Sunday   ,2,Winter,9
De Vere Cranage Estate,,,,2018-01-27,2018-01-28,January  ,January  ,Saturday ,Sunday   ,1,Winter,9
Donnington Valley Hotel & Spa,,,,2018-02-03,2018-02-04,February ,February ,Saturday ,Sunday   ,1,Winter,9
Le Palais Art Hotel Prague,,,,2018-03-16,2018-03-18,March    ,March    ,Friday   ,Sunday   ,2,Winter,9
Bagden Hall,"Bagden Hall, Denby Dale, West Yorkshire - save 58%",109,58,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,8
Grand Hotel Amrath Kurhaus The Hague-Scheveningen,,,,2018-02-11,2018-02-12,February ,February ,Sunday   ,Monday   ,1,Winter,8
Chicheley Hall,"Chicheley Hall, Chicheley, Buckinghamshire - save 27%",109,27,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,8
Marriott Hotel The Hague,,,,2018-03-02,2018-03-04,March    ,March    ,Friday   ,Sunday   ,2,Winter,8
H10 London Waterloo,"H10 London Waterloo, Waterloo, London - save 53%",99,53,2018-02-27,2018-02-28,February ,February ,Tuesday  ,Wednesday,1,Winter,8
H10 London Waterloo,"H10 London Waterloo, Waterloo, London - save 53%",99,53,2018-02-26,2018-02-27,February ,February ,Monday   ,Tuesday  ,1,Winter,8
H10 London Waterloo,"H10 London Waterloo, Waterloo, London - save 53%",99,53,2018-03-24,2018-03-25,March    ,March    ,Saturday ,Sunday   ,1,Spring,8
H10 London Waterloo,"H10 London Waterloo, Waterloo, London - save 53%",99,53,2018-04-20,2018-04-22,April    ,April    ,Friday   ,Sunday   ,2,Spring,8
Peckforton Castle,"Peckforton Castle, Tarporley, Cheshire - save 39%",125,39,2018-07-22,2018-07-23,July     ,July     ,Sunday   ,Monday   ,1,Summer,8
Best Western Plus Birmingham NEC Meriden Manor Hotel,"Best Western Plus Birmingham NEC Meriden Manor Hotel, Meriden (near Coventry), West Midlands - save 45%",59,45,2018-02-23,2018-02-24,February ,February ,Friday   ,Saturday ,1,Winter,8
DEPKG/CORE CRU Ovation of the Seas Singapur Peking 140218,,,,2018-04-12,2018-04-27,April    ,April    ,Thursday ,Friday   ,15,Spring,8
Holiday Inn Cambridge,,,,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,8
DEPKG/CORE EXP London NFL 020218,,,,2018-10-20,2018-10-22,October  ,October  ,Saturday ,Monday   ,2,Autumn,8
Best Western Plus Grand Winston,,,,2018-03-02,2018-03-04,March    ,March    ,Friday   ,Sunday   ,2,Winter,8
Best Western Plus Grand Winston,,,,2018-03-16,2018-03-18,March    ,March    ,Friday   ,Sunday   ,2,Winter,8
Danubius Hotel Regents Park,,,,2018-01-27,2018-01-28,January  ,January  ,Saturday ,Sunday   ,1,Winter,8
Hotel Elbresidenz an der Therme Bad Schandau,,,,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,8
BOLD Hotel Muenchen Zentrum,,,,2018-03-04,2018-03-05,March    ,March    ,Sunday   ,Monday   ,1,Winter,8
De Vere Wotton House,"De Vere Wotton House, Dorking, Surrey - save 29%",149,29,2018-02-23,2018-02-24,February ,February ,Friday   ,Saturday ,1,Winter,8
Bilderberg Hotel De Buunderkamp,,,,2018-02-23,2018-02-25,February ,February ,Friday   ,Sunday   ,2,Winter,8
Bilderberg Parkhotel,"Bilderberg Parkhotel, Rotterdam, The Netherlands - save 47%",94,47,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,8
Bilderberg Parkhotel,"Bilderberg Parkhotel, Rotterdam, The Netherlands - save 47%",94,47,2018-03-24,2018-03-25,March    ,March    ,Saturday ,Sunday   ,1,Spring,8
Arbor Hyde Park,"Arbor Hyde Park, Hyde Park, London - save 63%",99,63,2018-03-30,2018-04-02,March    ,April    ,Friday   ,Monday   ,3,Spring,8
Dorint An der Messe Köln,,,,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,8
Dorint Maison Messmer Baden-Baden,,,,2017-12-27,2017-12-28,December ,December ,Wednesday,Thursday ,1,Winter,8
Dorint Maison Messmer Baden-Baden,,,,2018-01-20,2018-01-21,January  ,January  ,Saturday ,Sunday   ,1,Winter,8
Hyperion Hotel Dresden am Schloss,,,,2018-03-02,2018-03-04,March    ,March    ,Friday   ,Sunday   ,2,Winter,8
Hôtel Duette,"Hôtel Duette, Paris, france - save 64%",99,64,2018-05-25,2018-05-27,May      ,May      ,Friday   ,Sunday   ,2,Spring,8
Elite Park Avenue Hotel,,,,2018-03-02,2018-03-04,March    ,March    ,Friday   ,Sunday   ,2,Winter,8
Inntel Hotel Art Eindhoven,,,,2018-02-23,2018-02-25,February ,February ,Friday   ,Sunday   ,2,Winter,8
Inntel Hotel Art Eindhoven,,,,2018-04-14,2018-04-15,April    ,April    ,Saturday ,Sunday   ,1,Spring,8
Champneys Tring,"Champneys Tring, Wiggington, Hertfordshire - save 51%",390,51,2018-03-18,2018-03-19,March    ,March    ,Sunday   ,Monday   ,1,Winter,8
Falkenberg Strandbad,,,,2018-05-10,2018-05-11,May      ,May      ,Thursday ,Friday   ,1,Spring,8
Knoll House,,,,2018-04-28,2018-04-29,April    ,April    ,Saturday ,Sunday   ,1,Spring,8
Knoll House,,,,2018-05-05,2018-05-07,May      ,May      ,Saturday ,Monday   ,2,Spring,8
Knoll House,,,,2018-05-12,2018-05-13,May      ,May      ,Saturday ,Sunday   ,1,Spring,8
Knoll House,,,,2018-05-26,2018-05-27,May      ,May      ,Saturday ,Sunday   ,1,Spring,8
Champneys Tring,"Champneys Tring, Wiggington, Hertfordshire - save 51%",390,51,2018-05-27,2018-05-28,May      ,May      ,Sunday   ,Monday   ,1,Spring,8
Le Palais Art Hotel Prague,,,,2018-02-23,2018-02-25,February ,February ,Friday   ,Sunday   ,2,Winter,8
Champneys Tring,"Champneys Tring, Wiggington, Hertfordshire - save 51%",390,51,2018-03-04,2018-03-05,March    ,March    ,Sunday   ,Monday   ,1,Winter,8
Lea Marston Hotel & Spa,,,,2018-03-16,2018-03-18,March    ,March    ,Friday   ,Sunday   ,2,Winter,8
Lea Marston Hotel & Spa,,,,2018-03-17,2018-03-18,March    ,March    ,Saturday ,Sunday   ,1,Winter,8
Lea Marston Hotel & Spa,,,,2018-03-23,2018-03-25,March    ,March    ,Friday   ,Sunday   ,2,Spring,8
Lea Marston Hotel & Spa,,,,2018-03-24,2018-03-25,March    ,March    ,Saturday ,Sunday   ,1,Spring,8
Lea Marston Hotel & Spa,,,,2018-04-28,2018-04-29,April    ,April    ,Saturday ,Sunday   ,1,Spring,8
Lea Marston Hotel & Spa,,,,2018-05-26,2018-05-27,May      ,May      ,Saturday ,Sunday   ,1,Spring,8
Radisson Blu Hotel Köln,,,,2018-03-17,2018-03-18,March    ,March    ,Saturday ,Sunday   ,1,Winter,8
Tallink Silja,,,,2018-04-20,2018-04-22,April    ,April    ,Friday   ,Sunday   ,2,Spring,8
The Washington Mayfair Hotel,,,,2018-03-10,2018-03-11,March    ,March    ,Saturday ,Sunday   ,1,Winter,8
The Great House At Sonning,"The Great House At Sonning, Sonning, near Reading, Berkshire - save 51%",64,51,2018-02-24,2018-02-25,February ,February ,Saturday ,Sunday   ,1,Winter,8
The Washington Mayfair Hotel,,,,2018-04-28,2018-04-29,April    ,April    ,Saturday ,Sunday   ,1,Spring,8
Radisson Blu Hotel Köln,,,,2018-02-23,2018-02-24,February ,February ,Friday   ,Saturday ,1,Winter,8
