"Paramount Hotel, Times Square, New York - save 40%",USA,HOTEL,75,40,2018-02-18 00:01:00.000000,2018-02-27 04:59:00.000000,9,64
"Hotel Indigo Barcelona, Barcelona, Spain - save 55%",Spain,HOTEL,96.34,55,2018-02-19 00:01:00.000000,2018-02-26 23:59:00.000000,7,64
"Smooth Hotel Rome Termini, Rome, Italy - save 42%",Italy,HOTEL,80,42,2018-02-18 00:01:00.000000,2018-02-26 23:59:00.000000,8,63
"Hotel Salus Terme, Viterbo, Italy - save 56%",Italy,HOTEL,89,56,2018-02-08 00:01:00.000000,2018-02-26 23:59:00.000000,18,63
"Milford Hall Hotel, Salisbury, Wiltshire - save 59%",England,HOTEL,79,59,2018-01-29 00:01:00.000000,2018-02-27 23:59:00.000000,29,63
"The Montauk Beach House, Montauk, New York - save 63%",USA,HOTEL,149,63,2018-02-18 00:01:00.000000,2018-02-27 04:59:00.000000,9,63
"Macdonald Bath Spa Hotel, Bath, Somerset - save 41%",England,HOTEL,139,41,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,62
"The Shrigley Hall Hotel, Macclesfield, Cheshire - save 57%",England,HOTEL,189,57,2018-02-12 00:01:00.000000,2018-02-23 23:59:00.000000,11,62
"Rowton Hall Country House Hotel & Spa, Chester, Cheshire - save 40%",England,HOTEL,99,40,2018-02-12 00:01:00.000000,2018-02-23 23:59:00.000000,11,61
"Langshott Manor, Horley, Surrey - save 50%",England,HOTEL,135,50,2018-02-12 00:01:00.000000,2018-02-27 23:59:00.000000,15,60
"Lovelady Shield Country House Hotel, Cumbria, Lake District - save 55%",England,HOTEL,148,55,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,60
"The Mermaid Inn, Rye, East Sussex - save 34%",England,HOTEL,99,34,2018-02-05 00:01:00.000000,2018-02-27 23:59:00.000000,22,60
"Austria Trend Parkhotel Schonbrunn, Vienna, Austria - save 39%",Austria,HOTEL,89,39,2018-02-12 00:01:00.000000,2018-02-26 23:59:00.000000,14,59
